SI,SNR,SPL,BN,RT,G
85,15,60,45,1.523,0
90,15,80,65,1.292,0
65,10,70,60,1.523,0
40,5,50,45,1.523,0
75,10,60,50,1.292,0
90,15,80,65,1.073,0
100,15,70,55,0.767,0
85,10,50,40,1.073,0
70,5,60,55,1.292,0
70,0,80,80,1.523,0
80,0,70,70,1.292,0
80,5,50,45,1.073,0
85,10,60,50,0.767,0
75,5,80,75,0.767,0
75,0,70,70,1.073,0
70,0,50,50,0.767,0
100,15,60,45,1.523,0
100,15,80,65,1.292,0
80,10,70,60,1.523,0
55,5,50,45,1.523,0
90,10,60,50,1.292,0
100,15,80,65,1.073,0
95,15,70,55,0.767,0
85,10,50,40,1.073,0
80,5,60,55,1.292,0
75,0,80,80,1.523,0
95,0,70,70,1.292,0
75,5,50,45,1.073,0
90,10,60,50,0.767,0
85,5,80,75,0.767,0
80,0,70,70,1.073,0
50,0,50,50,0.767,0
85,15,60,45,1.523,0
95,15,80,65,1.292,0
95,10,70,60,1.523,0
90,5,50,45,1.523,0
100,10,60,50,1.292,0
100,15,80,65,1.073,0
100,15,70,55,0.767,0
95,10,50,40,1.073,0
70,5,60,55,1.292,0
90,0,80,80,1.523,0
90,0,70,70,1.292,0
95,5,50,45,1.073,0
100,10,60,50,0.767,0
90,5,80,75,0.767,0
75,0,70,70,1.073,0
80,0,50,50,0.767,0
85,15,60,45,1.523,0
85,15,80,65,1.292,0
100,10,70,60,1.523,0
95,5,50,45,1.523,0
100,10,60,50,1.292,0
100,15,80,65,1.073,0
90,15,70,55,0.767,0
100,10,50,40,1.073,0
90,5,60,55,1.292,0
85,0,80,80,1.523,0
80,0,70,70,1.292,0
60,5,50,45,1.073,0
90,10,60,50,0.767,0
90,5,80,75,0.767,0
85,0,70,70,1.073,0
70,0,50,50,0.767,0
75,15,60,45,1.523,0
80,15,80,65,1.292,0
100,10,70,60,1.523,0
75,5,50,45,1.523,0
100,10,60,50,1.292,0
100,15,80,65,1.073,0
95,15,70,55,0.767,0
85,10,50,40,1.073,0
95,5,60,55,1.292,0
65,0,80,80,1.523,0
100,0,70,70,1.292,0
90,5,50,45,1.073,0
95,10,60,50,0.767,0
95,5,80,75,0.767,0
75,0,70,70,1.073,0
70,0,50,50,0.767,0
85,15,60,45,1.523,1
